ID,Date,OpponentID,HomeAway,HomeGoals,AwayGoals,Formation,Lineup
01,2017-08-12,18,A,3,3,4-3-3,22-18-6-32-66-5-14-23-19-9-11
2,2017-08-19,6,H,1,0,4-3-3,22-26-17-32-12-7-14-5-9-15-19
3,2017-08-27,1,H,4,0,4-3-3,1-18-6-32-12-5-14-23-19-9-11
4,2017-09-09,11,A,5,0,4-3-3,22-18-17-32-66-23-14-5-19-9-11
5,2017-09-16,4,H,1,1,4-3-3,22-26-17-32-66-10-23-7-9-15-11
6,2017-09-23,9,A,2,3,4-3-3,22-18-6-32-12-5-14-23-10-9-11
7,2017-10-01,13,A,1,1,4-3-3,22-18-6-32-12-10-14-5-19-15-11
8,2017-10-14,12,H,0,0,4-3-3,22-18-6-32-12-23-14-5-10-9-11
9,2017-10-22,17,A,4,1,4-3-3,22-18-6-32-12-23-14-7-40-9-11
10,2017-10-28,8,H,3,0,4-3-3,22-18-17-32-12-5-14-7-9-15-11
11,2017-11-04,20,A,1,4,4-2-2-2,22-18-17-32-12-23-5-19-21-11-9
12,2017-11-18,14,H,3,0,4-3-3,22-18-17-6-66-10-14-5-19-9-11
13,2017-11-25,5,H,1,1,4-3-3,22-18-17-32-12-10-14-7-21-15-11
14,2017-11-29,15,A,0,3,4-2-3-1,22-18-6-32-12-5-23-19-9-21-29
15,2017-12-02,3,A,1,5,3-5-1-1,22-5-6-23-26-10-14-7-66-11-9
16,2017-12-10,7,H,1,1,4-3-3,22-26-17-6-12-7-14-21-19-29-11
17,2017-12-13,19,H,0,0,4-4-2,1-26-17-6-66-10-23-5-19-11-9
18,2017-12-17,2,A,0,4,4-3-3,22-26-17-6-12-5-14-21-10-9-11
19,2017-12-22,1,A,3,3,4-2-3-1,22-26-17-6-12-23-14-19-10-11-9
20,2017-12-26,16,H,5,0,4-3-3,22-26-17-32-66-5-23-21-10-9-11
21,2017-12-30,9,H,2,1,4-3-3,1-26-6-32-12-7-23-10-19-9-11
22,2018-01-01,4,A,1,2,4-2-3-1,22-12-17-6-66-5-23-21-20-19-29
23,2018-01-14,11,H,4,3,4-3-3,1-26-6-32-12-5-23-21-19-9-11
24,2018-01-22,16,A,1,0,4-2-3-1,1-26-4-32-12-5-23-19-21-11-9
25,2018-01-30,8,A,0,3,4-3-3,1-26-6-32-12-7-14-23-19-9-11
26,2018-02-04,17,H,2,2,4-3-3,1-26-4-6-66-7-14-23-19-9-11
27,2018-02-11,14,A,0,2,4-3-3,1-26-4-32-66-5-23-21-19-9-11
28,2018-02-24,20,H,4,1,4-3-3,1-26-4-32-66-7-23-21-19-9-11
29,2018-03-03,13,H,2,0,4-3-3,1-26-4-6-66-23-14-21-19-9-11
30,2018-03-10,12,A,2,1,4-3-3,1-26-4-6-66-7-23-21-19-9-11
31,2018-03-17,18,H,5,0,4-3-3,1-26-4-32-12-5-14-23-19-9-11
32,2018-03-31,6,A,1,2,4-3-3,1-26-4-32-66-7-14-5-19-9-11
33,2018-04-07,7,A,0,0,4-3-3,1-17-4-6-2-7-14-5-19-29-28
34,2018-04-14,2,H,3,0,4-3-3,1-26-4-6-66-5-14-21-19-9-11
35,2018-04-21,19,A,2,2,4-3-3,1-18-17-4-12-7-14-5-19-28-11
36,2018-04-28,15,H,0,0,4-3-3,1-18-17-4-12-5-14-66-28-9-11
37,2018-05-06,5,A,1,0,4-3-3,1-26-4-6-2-7-5-66-19-9-11
38,2018-05-13,3,H,0,0,0-0-0,00-00-00-00-00-00-00-00-00-00-00
39,2018-07-07,1,H,0,0,0-0-0,00-00-00-00-00-00-00-00-00-00-00
40,2018-08-08,2,A,0,0,0-0-0,00-00-00-00-00-00-00-00-00-00-00